MAG_ID,BUSCO_Complete,BUSCO_SINGLE,BUSCO_DUPLICATED,BUSCO_FRAGMENTED,BUSCO_MISSING,BUSCO_NUMBER,Source_Annotation
Mars-10.bin.46,88.1,87.6,0.5,1.7,10.2,758,metaeuk
Mars-11.bin.127,30.5,29.9,0.5,19.1,50.4,758,metaeuk
Mars-11.bin.24,93.7,93.4,0.3,2.6,3.7,758,metaeuk
Mars-11.bin.28,86.4,82.7,3.7,2.4,11.2,758,metaeuk
Mars-11.bin.60,85.4,83.5,1.8,2.9,11.7,758,metaeuk
Mars-13.bin.53,95.1,95.0,0.1,2.0,2.9,758,metaeuk
Mars-13.bin.85,55.9,55.7,0.3,2.2,41.8,758,metaeuk
Mars-13.bin.90,30.6,30.1,0.5,19.8,49.6,758,metaeuk
Mars-13.bin.92,80.9,80.6,0.3,2.9,16.2,758,metaeuk
Mars-14.bin.15,81.8,81.5,0.3,5.8,12.4,758,metaeuk
Mars-14.bin.1,91.2,84.6,6.6,0.9,7.9,758,metaeuk
Mars-14.bin.40,91.7,91.3,0.4,2.1,6.2,758,metaeuk
Mars-14.bin.46,77.2,75.2,2.0,2.0,20.8,758,metaeuk
Mars-14.bin.52,90.4,87.5,2.9,2.1,7.5,758,metaeuk
Mars-14.bin.71,80.3,79.9,0.4,1.7,17.9,758,metaeuk
Mars-14.bin.73,71.8,71.4,0.4,2.8,25.5,758,metaeuk
Mars-14.bin.78,77.0,76.8,0.3,5.7,17.3,758,metaeuk
Mars-15.bin.43,57.9,57.7,0.3,11.6,30.5,758,metaeuk
Mars-15.bin.94,64.4,61.3,3.0,6.9,28.8,758,metaeuk
Mars-16.bin.74,49.1,48.8,0.3,1.8,49.1,758,metaeuk
Mars-16.bin.78,80.5,80.2,0.3,5.5,14.0,758,metaeuk
Mars-16.bin.91,62.5,60.4,2.1,3.8,33.6,758,metaeuk
Mars-16.bin.93,87.2,79.4,7.8,2.4,10.4,758,metaeuk
Mars-17.bin.121,77.8,77.4,0.4,2.0,20.2,758,metaeuk
Mars-17.bin.124,86.5,86.0,0.5,2.0,11.5,758,metaeuk
Mars-17.bin.13,68.9,68.5,0.4,2.4,28.8,758,metaeuk
Mars-17.bin.30,93.3,93.0,0.3,1.3,5.4,758,metaeuk
Mars-18.bin.14,86.7,85.0,1.7,3.3,10.0,758,metaeuk
Mars-18.bin.21,66.0,65.2,0.8,4.6,29.4,758,metaeuk
Mars-18.bin.66,75.7,73.9,1.8,5.3,19.0,758,metaeuk
Mars-18.bin.76,60.4,60.0,0.4,1.8,37.7,758,metaeuk
Mars-18.bin.86,88.1,87.3,0.8,2.9,9.0,758,metaeuk
Mars-19.bin.11,88.3,86.9,1.3,2.5,9.2,758,metaeuk
Mars-19.bin.32,77.0,76.5,0.5,1.3,21.6,758,metaeuk
Mars-19.bin.38,63.3,63.1,0.3,6.5,30.2,758,metaeuk
Mars-19.bin.51,90.6,90.0,0.7,1.3,8.0,758,metaeuk
Mars-1.bin.122,64.8,64.5,0.3,6.1,29.2,758,metaeuk
Mars-1.bin.138,79.4,79.0,0.4,6.1,14.5,758,metaeuk
Mars-1.bin.20,92.3,91.7,0.7,1.7,5.9,758,metaeuk
Mars-1.bin.40,72.8,72.6,0.3,2.2,24.9,758,metaeuk
Mars-1.bin.54,88.0,87.7,0.3,2.5,9.5,758,metaeuk
Mars-1.bin.89,93.4,92.7,0.7,2.0,4.6,758,metaeuk
